Player,Birth,Market Value,Citizenship,Foot,Contract,Joined
Da-sol Kim,"Jan 4, 1989 (36)",€175k,"Korea, South",right,"Dec 31, 2026","Jan 4, 2024"
Byeong-keun Hwang,"Jun 14, 1994 (30)",€100k,"Korea, South",N/A,-,"Jan 17, 2025"
Sung-dong Kim,"Mar 23, 2002 (22)",€100k,"Korea, South",N/A,-,"Jan 1, 2023"
Yun-oh Lee,"Mar 23, 1999 (25)",€75k,"Korea, South",right,-,"Mar 7, 2024"
Jong-hyeon Park,"Nov 24, 2000 (24)",€375k,"Korea, South",N/A,-,"Jan 1, 2022"
Thomas Oude Kotte,"Mar 20, 1996 (28)",€350k,Netherlands,left,-,"Jan 21, 2025"
Chang-yong Lee,"Aug 27, 1990 (34)",€275k,"Korea, South",N/A,-,"Jan 6, 2022"
Young-chan Kim,"Sep 4, 1993 (31)",€225k,"Korea, South",right,-,"Jan 9, 2024"
Yong-jik Ri,"Feb 8, 1991 (34)",€150k,"Korea, North
  Korea, South",right,-,"Mar 7, 2024"
Seung-kyum Im,"Apr 26, 1995 (29)",€125k,"Korea, South",right,-,"Jan 8, 2021"
Min-ho Kim,"Jan 9, 2003 (22)",€25k,"Korea, South",N/A,-,"Jan 3, 2024"
Sang-yong Lee,"Mar 19, 1994 (30)",N/A,"Korea, South",right,"Jun 30, 2026","Jan 1, 2017"
Ji-hun Kim,"Oct 14, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Dong-jin Kim,"Dec 28, 1992 (32)",€350k,"Korea, South",N/A,-,"Jan 1, 2022"
Bo-min Jeon,"May 10, 2000 (24)",€75k,"Korea, South",N/A,-,"Jan 5, 2022"
Tae-hee Lee,"Jun 16, 1992 (32)",€250k,"Korea, South",right,-,"Feb 7, 2023"
Eduardo,"Jan 9, 1997 (28)",€500k,Brazil,right,-,"Jan 17, 2025"
Jung-hyun Kim,"Jun 1, 1993 (31)",€350k,"Korea, South",right,-,"Jan 4, 2023"
Ka-ram Han,"Feb 9, 1998 (27)",€125k,"Korea, South",right,"Dec 31, 2026","Jan 11, 2024"
Min-soo Lee,"Jan 11, 1992 (33)",€100k,"Korea, South",right,-,"Jan 17, 2024"
Gyu-hyeon Choe,"Sep 19, 2000 (24)",€175k,"Korea, South",N/A,-,"Jan 11, 2024"
Seong-woo Moon,"May 15, 2003 (21)",€150k,"Korea, South",N/A,"Dec 31, 2025","Jan 1, 2023"
Hyun-woo Ju,"Sep 12, 1990 (34)",€300k,"Korea, South",right,-,"Jan 7, 2021"
Matheus Oliveira,"Sep 28, 1997 (27)",€700k,Brazil,left,-,"Jan 10, 2024"
Bo-kyung Kim,"Oct 6, 1989 (35)",€300k,"Korea, South",left,-,"Jan 23, 2025"
Yago César,"May 26, 1997 (27)",€400k,Brazil,right,-,"Mar 24, 2023"
Hyun-woo Chae,"Aug 19, 2004 (20)",€225k,"Korea, South",left,-,"Mar 8, 2024"
Jeong-hun Park,"Aug 21, 2004 (20)",€75k,"Korea, South",N/A,-,"Jan 3, 2024"
Ji-hun Kang,"Jan 6, 1997 (28)",€250k,"Korea, South",N/A,-,"Jan 17, 2025"
Sung-bum Choi,"Dec 24, 2001 (23)",€150k,"Korea, South",N/A,-,"Jan 1, 2023"
Bruno Mota,"Feb 10, 1996 (29)",€450k,Brazil,left,-,"Jan 17, 2025"
Un Kim,"Nov 15, 1994 (30)",€225k,"Korea, South",N/A,-,"Jan 11, 2024"
Dong-hyun Lee,"Oct 5, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 3, 2024"
Jung-woo Jang,"Nov 9, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
