Player,Birth,Market Value,Citizenship,Foot,Contract,Joined
Young-eun Choi,"Sep 26, 1995 (29)",€275k,"Korea, South",N/A,-,"Jan 1, 2018"
Seung-hoon Oh,"Jun 30, 1988 (36)",€275k,"Korea, South",right,-,"Jan 7, 2022"
Tae-hui Han,"Jul 5, 2004 (20)",€50k,"Korea, South",N/A,-,"Jan 1, 2023"
Sang-young Park,"Sep 17, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 1, 2024"
Man-ho Park,"Feb 28, 2004 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Je-wook Lee,"Jul 21, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Jin-hyuk Kim,"Jun 3, 1993 (31)",€650k,"Korea, South",right,-,"Jan 1, 2015"
Jin-young Park,"May 13, 2002 (22)",€275k,"Korea, South",N/A,-,"Jan 3, 2024"
Caio Marcelo,"Mar 14, 1998 (27)",€250k,Brazil,left,-,"Jul 8, 2024"
Won-woo Lee,"Mar 16, 2003 (22)",€75k,"Korea, South",left,-,"Jan 5, 2022"
Hyeon-jun Kim,"Jul 15, 2002 (22)",€50k,"Korea, South",N/A,-,"Jan 12, 2024"
Yeon-won Sim,"Aug 2, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 3, 2024"
Tae-min Yoon,"Oct 13, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 1, 2023"
Yoon-seo Jung,"Nov 13, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 1, 2023"
Woo-jae Jeong,"Jun 28, 1992 (32)",€300k,"Korea, South",right,-,"Jan 17, 2025"
Jae-won Hwang,"Aug 16, 2002 (22)",€650k,"Korea, South",N/A,"Dec 31, 2026","Jan 5, 2022"
Sung-won Jang,"Jun 17, 1997 (27)",€350k,"Korea, South",right,-,"Jan 1, 2018"
Jae-hyun Park,"Sep 16, 2003 (21)",€175k,"Korea, South",N/A,-,"Jan 5, 2022"
Ji-un You,"Jul 22, 2004 (20)",€50k,"Korea, South",right,"Dec 31, 2026","Jan 1, 2023"
Heon-taek Jeong,"Jul 31, 2002 (22)",N/A,"Korea, South",N/A,-,"Jan 3, 2024"
Chan-dong Lee,"Jan 10, 1993 (32)",€275k,"Korea, South",right,-,"Jul 30, 2024"
Min-joon Kim,"Jul 5, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Kwon-suk Sung,"Jan 9, 2006 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Kyohei Yoshino,"Nov 8, 1994 (30)",€450k,Japan,right,-,"Jan 5, 2024"
Se-jin Park,"Mar 19, 2004 (20)",€375k,"Korea, South",right,-,"Jan 1, 2023"
Yong-rae Lee,"Apr 17, 1986 (38)",€100k,"Korea, South",left,-,"Jan 11, 2021"
Kwang-deok Kwon,"Jan 28, 2005 (20)",N/A,"Korea, South",N/A,-,"Jan 1, 2024"
Cesinha,"Nov 29, 1989 (35)",€700k,Brazil,right,-,"Jan 1, 2017"
Bruno Lamas,"Apr 13, 1994 (30)",€650k,"Brazil
  Italy",left,-,"Jan 17, 2025"
Jong-mu Han,"May 2, 2003 (21)",€275k,"Korea, South",right,-,"Jan 17, 2025"
Seung-min Son,"May 9, 2005 (19)",€75k,"Korea, South",right,-,"Jan 3, 2024"
Jeong-hyun Kim,"Jun 9, 2000 (24)",€75k,"Korea, South",right,-,"Jan 12, 2024"
Chi-in Jeong,"Aug 21, 1997 (27)",€325k,"Korea, South",N/A,-,"Jan 1, 2016"
Yong-jun Jeon,"Jul 16, 2003 (21)",€50k,"Korea, South",N/A,-,"Jan 5, 2022"
Jae-hyun Go,"Mar 5, 1999 (26)",€700k,"Korea, South",right,"Dec 31, 2025","Dec 14, 2017"
Eun-woo Jeong,"Apr 22, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 3, 2024"
Dae-hun Park,"Mar 30, 1996 (28)",€250k,"Korea, South",right,-,"Jan 17, 2025"
Edgar Bruno,"Jan 3, 1987 (38)",€150k,Brazil,right,-,"Jan 1, 2023"
Jae-sang Jeong,"May 25, 2004 (20)",€150k,"Korea, South",N/A,-,"Jan 3, 2024"
Seo-jin Han,"Mar 10, 2005 (20)",N/A,"Korea, South",N/A,-,"Jan 3, 2024"
Min-young Kim,"Feb 7, 2000 (25)",N/A,"Korea, South",N/A,-,"Jan 12, 2024"
Tae-young Kwon,"Jun 5, 2002 (22)",N/A,"Korea, South",N/A,-,"Jan 20, 2025"
Isaac Osei,"Sep 13, 2005 (19)",N/A,Ghana,N/A,-,"Jan 17, 2025"
Rim Lee,"Aug 12, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
