Player,Birth,Market Value,Citizenship,Foot,Contract,Joined,Transfer
Kwang-yeon Lee,"Sep 11, 1999 (25)",€400k,"Korea, South",right,-,"Jan 4, 2019",0
Cheong-hyo Park,"Feb 13, 1990 (35)",€200k,"Korea, South",right,-,"Jan 23, 2024",0
Yoo-sung Kim,"Nov 16, 2005 (19)",€75k,"Korea, South",N/A,-,"Jan 23, 2024",0
Min-kyu Cho,"Apr 30, 2003 (21)",€50k,"Korea, South",N/A,-,"Jan 1, 2023",0
Su-hwan Park,"Apr 27, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Marko Tuci,"Dec 4, 1998 (26)",€500k,Montenegro,right,-,"Jun 27, 2023",0
Gi-hyuk Lee,"Jul 7, 2000 (24)",€450k,"Korea, South",left,"Dec 31, 2025","Jan 20, 2024",1
Min-ha Shin,"Sep 15, 2005 (19)",€175k,"Korea, South",right,-,"Jan 9, 2024",0
Hyun-tae Jo,"Oct 27, 2004 (20)",€75k,"Korea, South",N/A,-,"Jul 14, 2022",0
Ho-yeong Park,"Apr 7, 1999 (25)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Seung-bin Jung,"Jul 3, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Chul Hong,"Sep 17, 1990 (34)",€350k,"Korea, South",left,-,"Jan 17, 2025",0
Jun-seok Song,"Feb 6, 2001 (24)",€275k,"Korea, South",left,-,"Feb 8, 2021",0
Joon-hyuck Kang,"Oct 20, 1999 (25)",€275k,"Korea, South",right,-,"Jan 17, 2025",0
You-hyeon Lee,"Feb 8, 1997 (28)",€375k,"Korea, South",right,-,"Jan 17, 2025",1
Seok-joo Kwon,"Jun 12, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 1, 2022",0
Jeong-hoon Choi,"Mar 9, 1999 (26)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Dong-hyeon Kim,"Jun 11, 1997 (27)",€800k,"Korea, South",right,-,"Jan 18, 2021",0
Han-sol Choi,"Mar 16, 1997 (28)",€275k,"Korea, South",right,-,"Jan 17, 2025",0
Dong-jin Lee,"Dec 17, 2000 (24)",€50k,"Korea, South",N/A,-,"Jan 1, 2023",0
Tae-hwan Kim,"May 29, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Eun-chong Hwang,"Jan 10, 2006 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Ki-wan Sung,"Jan 1, 2004 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Kang-gook Kim,"Jan 7, 1997 (28)",€400k,"Korea, South",N/A,-,"Jan 8, 2024",0
Yi-seok Kim,"Jun 19, 1998 (26)",€350k,"Korea, South",right,-,"Jan 1, 2024",0
Dae-woo Kim,"Dec 2, 2000 (24)",€250k,"Korea, South",N/A,-,"Jan 7, 2021",0
Hee-do Won,"Aug 1, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 20, 2025",0
Jun-jin Yu,"Feb 22, 2006 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Sang-heon Lee,"Feb 26, 1998 (27)",€900k,"Korea, South",right,-,"Jan 1, 2024",0
Yun-gu Kang,"Apr 8, 2002 (22)",€300k,"Korea, South",left,-,"Jan 17, 2025",0
Mario Cuze,"Apr 24, 1999 (25)",€800k,"Croatia
  Bosnia-Herzegovina",right,"Dec 31, 2026","Jan 29, 2025",0
Il-lok Yun,"Mar 7, 1992 (33)",€450k,"Korea, South",right,-,"Jan 20, 2025",0,
Romário Baldé,"Dec 25, 1996 (28)",€350k,"Guinea-Bissau
  Portugal",right,-,"Feb 7, 2025",1
Jin-hyuk Cho,"Aug 10, 2000 (24)",€200k,"Korea, South",N/A,-,"Jan 1, 2023",0
Min-jun Kim,"Feb 12, 2000 (25)",€500k,"Korea, South",N/A,-,"Jan 17, 2025",0
Byeong-chan Choe,"Apr 4, 1996 (28)",€250k,"Korea, South",right,-,"Jan 17, 2025",0
Do-hyun Kim,"May 12, 2004 (20)",€100k,"Korea, South",N/A,-,"Jan 17, 2025",0
Hyeong-jin Kim,"Nov 19, 2006 (18)",N/A,"Korea, South",left,-,"Jul 3, 2024",0
Vitor Gabriel,"Jan 20, 2000 (25)",€600k,Brazil,right,-,"Jul 12, 2023",0
Franko Kovacevic,"Aug 8, 1999 (25)",€550k,Croatia,right,"Jun 30, 2025","Jul 10, 2024",1
Kyeong-min Kim,"Jan 22, 1997 (28)",€175k,"Korea, South",N/A,-,"Jun 27, 2024",1
Jun-seo Jin,"Feb 21, 2005 (20)",€125k,"Korea, South",N/A,-,"Jul 4, 2024",0
Byung-heon Yoo,"Feb 1, 2006 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025",0
Ji-ho Lee,"Apr 16, 2002 (22)",N/A,"Korea, South",N/A,"Dec 31, 2026","Jan 17, 2025",0
