Player,Birth,Market Value,Citizenship,Foot,Contract,Joined
Dong-jun Kim,"Dec 19, 1994 (30)",€600k,"Korea, South",N/A,-,"Jan 11, 2022"
Chan-gi An,"Apr 6, 1998 (26)",€150k,"Korea, South",N/A,-,"Jan 8, 2024"
Seong-been Cho,"Jan 5, 2001 (24)",€100k,"Korea, South",N/A,-,"Jan 17, 2025"
Seung-min Joo,"Jun 13, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Ji-woon Kim,"Mar 8, 2006 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Min-gyu Jang,"Mar 6, 1999 (26)",€750k,"Korea, South",right,"Dec 31, 2026","Jan 17, 2025"
Chang-woo Rim,"Feb 13, 1992 (33)",€450k,"Korea, South",right,-,"Jul 18, 2023"
Jae-woo Kim,"Feb 6, 1998 (27)",€400k,"Korea, South",right,-,"Jan 17, 2025"
Ju-hun Song,"Jan 13, 1994 (31)",€400k,"Korea, South",left,"Dec 31, 2025","Jan 4, 2021"
Chae-min Lim,"Nov 18, 1990 (34)",€325k,"Korea, South",right,-,"Feb 13, 2023"
Won-chang Choi,"May 9, 2001 (23)",N/A,"Korea, South",right,-,"Jan 17, 2025"
In-soo Yu,"Dec 28, 1994 (30)",€350k,"Korea, South",right,-,"Jan 20, 2025"
Woon Jeong,"Jun 30, 1989 (35)",€275k,"Korea, South",left,-,"Feb 22, 2016"
Ryun-sung Kim,"Jun 4, 2002 (22)",€150k,"Korea, South",left,"Dec 31, 2027","Jan 17, 2025"
In-jung Jo,"Nov 8, 2005 (19)",€50k,"Korea, South",left,-,"Jan 3, 2024"
Tae-hwan Kim,"Mar 25, 2000 (24)",€450k,"Korea, South",right,"Dec 31, 2026","Jan 14, 2024"
Tae-hyun An,"Mar 1, 1993 (32)",€300k,"Korea, South",right,-,"Jan 1, 2022"
Italo,"Aug 3, 1997 (27)",€500k,Brazil,right,-,"Jan 9, 2024"
Byung-wook Choi,"Apr 11, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Jun-ha Kim,"Dec 2, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Jin-ho Kim,"Feb 28, 2006 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Chang-min Lee,"Jan 20, 1994 (31)",€500k,"Korea, South",right,-,"Jan 1, 2016"
Geon-ung Kim,"Aug 29, 1997 (27)",€450k,"Korea, South",N/A,-,"Jul 18, 2023"
Jae-hyeok Oh,"Jun 21, 2002 (22)",€250k,"Korea, South",N/A,-,"Jan 17, 2025"
Jung-min Kim,"Nov 13, 1999 (25)",€200k,"Korea, South",right,"Dec 31, 2025","Jan 20, 2024"
Jae-min Kim,"Mar 19, 2003 (21)",€100k,"Korea, South",N/A,-,"Jan 3, 2024"
Tae-hee Nam,"Jul 3, 1991 (33)",€600k,"Korea, South",right,-,"Jul 25, 2024"
Sun-ho Kwon,"Mar 13, 2003 (22)",€125k,"Korea, South",N/A,"Dec 31, 2025","Jul 20, 2023"
Sang-wook Ji,"Jan 13, 2003 (22)",€175k,"Korea, South",N/A,-,"Jan 9, 2023"
Hyeon-woo Kim,"Apr 23, 1999 (25)",N/A,"Korea, South",right,-,"Jan 6, 2020"
Ju-gong Kim,"Apr 23, 1996 (28)",€350k,"Korea, South",N/A,-,"Jan 6, 2022"
Denílson,"Mar 20, 2000 (24)",N/A,Brazil,left,-,"Mar 7, 2025"
Jin-su Seo,"Oct 18, 2000 (24)",€400k,"Korea, South",right,"Dec 31, 2025","Jan 4, 2019"
Yuri Jonathan,"Jun 12, 1998 (26)",€400k,Brazil,right,-,"Jan 3, 2023"
Evandro,"Jan 14, 1997 (28)",€350k,Brazil,right,-,"Mar 8, 2025"
Dong-jin Park,"Dec 10, 1994 (30)",€275k,"Korea, South",right,"Dec 31, 2026","Jan 17, 2025"
Gun-hee Lee,"Feb 17, 1998 (27)",€200k,"Korea, South",N/A,-,"Jan 17, 2025"
Min-jae Kang,"May 14, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
