Player,Birth,Market Value,Citizenship,Foot,Contract,Joined
Bum-keun Song,"Oct 15, 1997 (27)",€850k,"Korea, South",right,-,"Jan 17, 2025"
Jeong-hoon Kim,"Apr 20, 2001 (23)",€500k,N/A,N/A,"Dec 31, 2026","Jan 4, 2019"
Si-hyeon Gong,"Feb 23, 2005 (20)",€75k,"Korea, South",left,"Dec 31, 2026","Jan 1, 2023"
Ji-wan Jeon,"May 14, 2004 (20)",€10k,"Korea, South",right,-,"Mar 24, 2022"
Han-gyeol Lee,"Jul 19, 2007 (17)",N/A,"Korea, South",N/A,"Dec 31, 2025","Feb 28, 2025"
Seung-jun Hwang,"Aug 3, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Jun-yeong Kim,"May 31, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Joo-young Yoon,"Apr 16, 2005 (19)",N/A,"Korea, South",N/A,"Dec 31, 2025","Feb 25, 2025"
Jae-jun Lee,"Oct 23, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Young-bin Kim,"Sep 20, 1991 (33)",€500k,"Korea, South",right,-,"Jan 17, 2025"
Jeong-ho Hong,"Aug 12, 1989 (35)",€500k,"Korea, South",right,-,"Jan 13, 2020"
Je-woon Yeon,"Aug 28, 1994 (30)",€375k,"Korea, South",right,-,"Jul 31, 2024"
Ha-jun Kim,"Jul 17, 2002 (22)",€250k,"Korea, South",left,-,"Jul 23, 2024"
Jung-gu Hwang,"Jul 22, 2005 (19)",N/A,"Korea, South",N/A,-,"Feb 4, 2025"
Su-hyung Kim,"Jun 25, 2007 (17)",N/A,"Korea, South",N/A,"Dec 31, 2025","Mar 15, 2025"
Sang-woon Jeong,"Apr 3, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Woo-jin Choi,"Jul 18, 2004 (20)",€400k,"Korea, South",N/A,-,"Feb 1, 2025"
Jeong-hyeok Seo,"Mar 9, 2006 (19)",N/A,"Korea, South",left,-,"May 17, 2024"
Hyun-beom Ahn,"Dec 21, 1994 (30)",€600k,"Korea, South",N/A,"Dec 31, 2026","Jul 18, 2023"
Tae-hyeon Kim,"Dec 19, 1996 (28)",€550k,"Korea, South",right,-,"Jan 17, 2025"
Tae-hwan Kim,"Jul 24, 1989 (35)",€500k,"Korea, South",right,"Dec 31, 2025","Jan 14, 2024"
Chul-soon Choi,"Feb 8, 1987 (38)",€150k,"Korea, South",right,"Dec 31, 2025","Jan 1, 2006"
Nana Boateng,"May 10, 1994 (30)",€1.40m,Ghana,right,-,"Jul 12, 2023"
Jin-seob Park,"Oct 23, 1995 (29)",€650k,"Korea, South",right,"Dec 31, 2027","Jan 12, 2022"
Kook-young Han,"Apr 19, 1990 (34)",€600k,"Korea, South",right,-,"Jun 20, 2024"
Soo-bin Lee,"May 7, 2000 (24)",€350k,"Korea, South",right,-,"Jan 2, 2023"
Sang-yun Kang,"May 31, 2004 (20)",€300k,"Korea, South",N/A,-,"Mar 15, 2022"
Min-jae Kim,"Jun 7, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Hyun-seok Yoon,"Nov 8, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Jin-gyu Kim,"Feb 24, 1997 (28)",€800k,"Korea, South",right,"Dec 31, 2026","Mar 16, 2022"
Yeong-jae Lee,"Sep 13, 1994 (30)",€750k,"Korea, South",left,-,"Jan 8, 2024"
Seok-jin Han,"Dec 19, 2007 (17)",N/A,"Korea, South",N/A,-,"May 17, 2024"
Seung-woo Lee,"Jan 6, 1998 (27)",€650k,"Korea, South",right,-,"Jul 24, 2024"
Andrigo,"Feb 27, 1995 (30)",€450k,Brazil,right,-,"Jan 1, 2025"
Jin-woo Jeon,"Sep 9, 1999 (25)",€375k,"Korea, South",right,-,"Jul 9, 2024"
Tae-ho Jin,"Jan 20, 2006 (19)",€125k,"Korea, South",N/A,-,"May 17, 2024"
Min-kyu Song,"Sep 12, 1999 (25)",€1.00m,"Korea, South",right,"Dec 31, 2025","Jul 20, 2021"
Byung-kwan Jeon,"Nov 10, 2002 (22)",€700k,"Korea, South",right,"Dec 31, 2026","Jan 4, 2024"
Hernandes,"Sep 2, 1999 (25)",€500k,Brazil,right,-,"Jan 17, 2024"
Chang-hoon Kim,"Oct 23, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 25, 2023"
Chang-hoon Kwon,"Jun 30, 1994 (30)",€500k,"Korea, South",left,-,"Jan 7, 2024"
Kyo-won Han,"Jun 15, 1990 (34)",€500k,"Korea, South",right,-,"Jan 5, 2014"
Kyu-min Park,"Jun 8, 2001 (23)",€50k,"Korea, South",N/A,-,"Feb 8, 2022"
Seung-min Um,"May 2, 2003 (21)",€50k,"Korea, South",N/A,"Dec 31, 2026","Jan 7, 2022"
Andrea Compagno,"Apr 22, 1996 (28)",€3.50m,Italy,right,-,"Feb 5, 2025"
Tiago Orobó,"Oct 28, 1993 (31)",€850k,Brazil,N/A,-,"Jan 1, 2024"
Jae-yong Park,"Mar 13, 2000 (25)",€450k,"Korea, South",N/A,-,"Jul 20, 2023"
Joon-ho Lee,"Sep 28, 2002 (22)",€175k,"Korea, South",N/A,-,"Jan 7, 2022"
Kyu-dong Lee,"Jan 24, 2004 (21)",€100k,"Korea, South",right,-,"Jan 25, 2023"
Jin-young Sung,"May 21, 2003 (21)",N/A,"Korea, South",right,-,"Jan 11, 2024"
Nam-ung Jang,"Feb 9, 2004 (21)",N/A,"Korea, South",N/A,-,"Jan 11, 2024"
Hyeon-jong Kang,"Jan 13, 2004 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
