Player,Birth,Position,Market Value,Contract,Joined
Ederson,27,Goalkeeper,€50.00m,N/A,N/A
Zack Steffen,26,Goalkeeper,€6.00m,N/A,N/A
Scott Carson,35,Goalkeeper,€300k,N/A,N/A
James Trafford,18,Goalkeeper,N/A,N/A,N/A
Rúben Dias,24,Defender - Centre-Back,€75.00m,N/A,N/A
Aymeric Laporte,27,Defender - Centre-Back,€45.00m,N/A,N/A
Nathan Aké,26,Defender - Centre-Back,€32.00m,N/A,N/A
John Stones,27,Defender - Centre-Back,€30.00m,N/A,N/A
Eric García,20,Defender - Centre-Back,€20.00m,N/A,N/A
Nicolás Otamendi,33,Defender - Centre-Back,€8.00m,N/A,N/A
Taylor Harwood-Bellis,19,Defender - Centre-Back,€3.00m,N/A,N/A
Philippe Sandler,24,Defender - Centre-Back,€2.50m,N/A,N/A
Luke Mbete,17,Defender - Centre-Back,N/A,N/A,N/A
Oleksandr Zinchenko,24,Defender - Left-Back,€25.00m,N/A,N/A
Benjamin Mendy,26,Defender - Left-Back,€20.00m,N/A,N/A
João Cancelo,27,Defender - Right-Back,€55.00m,N/A,N/A
Kyle Walker,31,Defender - Right-Back,€28.00m,N/A,N/A
Rodri,25,Midfield - Defensive Midfield,€70.00m,N/A,N/A
Fernandinho,36,Midfield - Defensive Midfield,€2.00m,N/A,N/A
Claudio Gomes,20,Midfield - Defensive Midfield,€450k,N/A,N/A
İlkay Gündoğan,30,Midfield - Central Midfield,€40.00m,N/A,N/A
Adrián Bernabé,20,Midfield - Central Midfield,€2.30m,N/A,N/A
Tommy Doyle,19,Midfield - Central Midfield,€1.00m,N/A,N/A
Felix Nmecha,20,Midfield - Central Midfield,€450k,N/A,N/A
Kevin De Bruyne,30,Midfield - Attacking Midfield,€100.00m,N/A,N/A
Bernardo Silva,26,Midfield - Attacking Midfield,€70.00m,N/A,N/A
Cole Palmer,19,Midfield - Attacking Midfield,€500k,N/A,N/A
Raheem Sterling,26,Attack - Right Winger,€90.00m,N/A,N/A
Phil Foden,21,Attack - Right Winger,€80.00m,N/A,N/A
Ferran Torres,21,Attack - Right Winger,€50.00m,N/A,N/A
Riyad Mahrez,30,Attack - Right Winger,€42.00m,N/A,N/A
Jack Harrison,24,Attack - Right Winger,€15.00m,N/A,N/A
Patrick Roberts,24,Attack - Right Winger,€2.00m,N/A,N/A
Gabriel Jesus,24,Attack - Centre-Forward,€60.00m,N/A,N/A
Sergio Agüero,33,Attack - Centre-Forward,€18.00m,N/A,N/A
Liam Delap,18,Attack - Centre-Forward,€1.00m,N/A,N/A
