Player,Birth,Market Value,Citizenship,Foot,Contract,Joined
Jun-su Ahn,"Jan 28, 1998 (27)",€400k,"Korea, South",N/A,-,"Jan 5, 2024"
Bae-jong Park,"Oct 23, 1989 (35)",€100k,"Korea, South",N/A,-,"Jan 1, 2012"
Jae-yun Hwang,"Mar 18, 2003 (22)",€50k,"Korea, South",N/A,-,"Jan 17, 2025"
Seung-min Baek,"Apr 15, 2003 (21)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Ho-yeon Joo,"Jan 23, 2003 (22)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Do-yeong Kwon,"Mar 5, 2003 (22)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Eun-gyeom Kim,"Apr 14, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Tae-han Kim,"Feb 24, 1996 (29)",€400k,"Korea, South",right,"Dec 31, 2025","Jan 3, 2024"
Kyu-baek Choi,"Jan 23, 1994 (31)",€275k,"Korea, South",right,-,"Jan 17, 2024"
Ji-sol Lee,"Jul 9, 1999 (25)",€225k,"Korea, South",right,-,"Jan 17, 2025"
Hyeon-yong Lee,"Dec 29, 2003 (21)",€125k,"Korea, South",N/A,-,"Jan 20, 2023"
Dae-hyun Kim,"Jun 1, 2002 (22)",N/A,"Korea, South",N/A,-,"Jan 6, 2024"
Sang-kyu Han,"Aug 5, 2005 (19)",N/A,"Korea, South",N/A,"Dec 31, 2028","Jan 6, 2024"
Leroy Abanda,"Jun 7, 2000 (24)",€600k,"France
  Cameroon",left,-,"Jan 27, 2025"
Cheol-woo Park,"Oct 21, 1997 (27)",€350k,"Korea, South",left,-,"Jan 5, 2022"
Jae-min Seo,"Dec 4, 1997 (27)",€350k,"Korea, South",left,-,"Jan 17, 2025"
Taek-geun Lee,"Dec 15, 2001 (23)",€175k,"Korea, South",right,-,"Jan 17, 2025"
In-taek Hwang,"Apr 1, 2003 (21)",€25k,"Korea, South",left,"Dec 31, 2026","Jan 17, 2025"
Jae-sung Kim,"Jul 15, 1999 (25)",€275k,"Korea, South",N/A,"Dec 31, 2026","Jan 17, 2025"
Yong Lee,"Dec 24, 1986 (38)",€250k,"Korea, South",right,-,"Mar 3, 2023"
Young-woo Jang,"Aug 21, 2002 (22)",€225k,"Korea, South",right,-,"Jan 5, 2024"
Ju-yeop Kim,"Apr 5, 2000 (24)",€200k,"Korea, South",N/A,"Dec 31, 2025","Jan 4, 2019"
Il-yeon Sin,"Jul 17, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 5, 2024"
Si-myeong Lee,"Jun 21, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Do-hyeon Yeom,"May 8, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
U-jin Yang,"Nov 29, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Bit-garam Yoon,"May 7, 1990 (34)",€600k,"Korea, South",right,-,"Jan 4, 2023"
Jae-won Lee,"Feb 21, 1997 (28)",€375k,"Korea, South",right,-,"Jan 11, 2024"
Yun-ho Jang,"Aug 25, 1996 (28)",€175k,"Korea, South",right,-,"Jan 17, 2025"
Jun-hyun Jo,"Feb 4, 2004 (21)",€100k,"Korea, South",N/A,-,"Jan 5, 2024"
Yun-gun Lee,"Feb 27, 2005 (20)",N/A,"Korea, South",N/A,-,"Jan 5, 2024"
One-hyung Kim,"Mar 21, 2005 (19)",N/A,"Korea, South",N/A,-,"Jan 6, 2024"
Joseph Lee,"Mar 28, 2000 (24)",N/A,"Korea, South",N/A,-,"Feb 5, 2024"
Luan Dias,"Jul 31, 1997 (27)",€450k,Brazil,left,-,"Feb 25, 2025"
Kyung-ho Roh,"Jul 5, 2000 (24)",€300k,"Korea, South",right,-,"Jul 12, 2024"
Do-yoon Kim,"May 18, 2005 (19)",€100k,"Korea, South",N/A,-,"Jul 21, 2023"
San Choi,"May 15, 2006 (18)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Anderson Oliveira,"Jul 16, 1998 (26)",€750k,Brazil,right,-,"Mar 1, 2024"
Mohamed Ofkir,"Aug 4, 1996 (28)",€400k,Norway,right,-,"Jan 27, 2025"
Joon-suk Lee,"Apr 7, 2000 (24)",€250k,"Korea, South",right,-,"Jan 12, 2024"
Min-sung Kang,"Mar 22, 2005 (19)",€50k,"Korea, South",N/A,"Dec 31, 2026","Jul 22, 2023"
Yong-hui Park,"Mar 29, 2002 (22)",€175k,"Korea, South",N/A,-,"Jan 17, 2025"
Pablo Sabbag,"Jun 11, 1997 (27)",€750k,"Syria
  Colombia",left,-,"Jan 28, 2025"
Dong-won Ji,"May 28, 1991 (33)",€175k,"Korea, South",right,"Dec 31, 2026","Jan 26, 2024"
Seung-bae Jung,"Nov 9, 2003 (21)",€125k,"Korea, South",right,-,"Jan 1, 2024"
Dae-kwang Lee,"Feb 23, 2003 (22)",€100k,"Korea, South",N/A,-,"Jan 20, 2023"
Gi-hyun Kwon,"May 14, 2004 (20)",N/A,"Korea, South",N/A,-,"Jan 17, 2025"
Chi-ung Choi,"Jul 24, 2001 (23)",N/A,"Korea, South",right,-,"Jan 20, 2023"
Kyeong Baek,"Apr 12, 2007 (17)",N/A,"Korea, South",N/A,"Dec 31, 2025","Jan 17, 2025"
